geonameid	name	latitude	longitude	cc	timezone
3040051	les Escaldes	42.50729	1.53414	AD	Europe/Andorra
3041563	Andorra la Vella	42.50779	1.52109	AD	Europe/Andorra
290503	Warisan	25.16744	55.40708	AE	Asia/Dubai
290594	Umm Al Quwain City	25.56473	55.55517	AE	Asia/Dubai
291074	Ras Al Khaimah City	25.78953	55.9432	AE	Asia/Dubai
291580	Zayed City	23.65416	53.70522	AE	Asia/Dubai
291696	Khawr Fakkan	25.33132	56.34199	AE	Asia/Dubai
291763	Kalba	25.07462	56.35545	AE	Asia/Dubai
291775	Jumayra	25.20795	55.24969	AE	Asia/Dubai
292223	Dubai	25.07725	55.30927	AE	Asia/Dubai
292231	Dibba Al-Fujairah	25.59246	56.26176	AE	Asia/Dubai
292239	Dibba Al-Hisn	25.61955	56.27291	AE	Asia/Dubai
292672	Sharjah	25.33737	55.41206	AE	Asia/Dubai
292688	Ar Ruways	24.11028	52.73056	AE	Asia/Dubai
292878	Al Fujairah City	25.11641	56.34141	AE	Asia/Dubai
292913	Al Ain City	24.19167	55.76056	AE	Asia/Dubai
292932	Ajman City	25.40177	55.47878	AE	Asia/Dubai
292953	Adh Dhayd	25.28812	55.88157	AE	Asia/Dubai
292968	Abu Dhabi	24.45118	54.39696	AE	Asia/Dubai
414901	Al Hamidiyah	25.40001	55.52925	AE	Asia/Dubai
7289825	Bur Dubai	25.26038	55.29891	AE	Asia/Dubai
8057551	Khalifah A City	24.42588	54.605	AE	Asia/Dubai
8469788	Dubai Marina	25.08525	55.14646	AE	Asia/Dubai
8469811	Dubai Internet City	25.09538	55.16171	AE	Asia/Dubai
8475866	Ar Rumaylah	25.40338	55.4334	AE	Asia/Dubai
8475923	Al Jurf	25.41814	55.50791	AE	Asia/Dubai
8541937	Dubai Festival City	25.22177	55.35733	AE	Asia/Dubai
8541977	Dubai International Financial Centre	25.2106	55.27787	AE	Asia/Dubai
11048853	Dubai Investments Park	25.00827	55.15682	AE	Asia/Dubai
11524601	Jebel Ali	25.00255	55.10811	AE	Asia/Dubai
12042052	Bani Yas City	24.30978	54.62944	AE	Asia/Dubai
12042053	Musaffah	24.35893	54.48267	AE	Asia/Dubai
12047416	Al Shamkhah City	24.39268	54.70779	AE	Asia/Dubai
12047417	Reef Al Fujairah City	25.14479	56.24764	AE	Asia/Dubai
1120985	Zaranj	30.95962	61.86037	AF	Asia/Kabul
1121381	Bazar-e Yakawlang	34.73525	66.97379	AF	Asia/Kabul
1123004	Taloqan	36.73605	69.53451	AF	Asia/Kabul
1125155	Shindand	33.30294	62.1474	AF	Asia/Kabul
1125444	Shibirghan	36.66757	65.7529	AF	Asia/Kabul
1125896	Shahrak	34.10737	64.3052	AF	Asia/Kabul
1127110	Sar-e Pul	36.21544	65.93249	AF	Asia/Kabul
1127628	Sang-e Charak	35.84972	66.43694	AF	Asia/Kabul
1127768	Aibak	36.26468	68.01551	AF	Asia/Kabul
1128265	Rustaq	37.12604	69.83045	AF	Asia/Kabul
1129516	Qarqin	37.41853	66.04358	AF	Asia/Kabul
1129648	Qarawul	37.21959	68.7802	AF	Asia/Kabul
1130490	Pul-e Khumri	35.94458	68.71512	AF	Asia/Kabul
1131316	Paghman	34.58787	68.95091	AF	Asia/Kabul
1132495	Nahrin	36.0649	69.13343	AF	Asia/Kabul
1133453	Maymana	35.92139	64.78361	AF	Asia/Kabul
1133574	Mehtar Lam	34.67139	70.20944	AF	Asia/Kabul
1133616	Mazar-e Sharif	36.70904	67.11087	AF	Asia/Kabul
1134720	Lashkar Gah	31.59382	64.37161	AF	Asia/Kabul
1135158	Kushk	33.29565	61.95221	AF	Asia/Kabul
1135689	Kunduz	36.72895	68.857	AF	Asia/Kabul
1136469	Khost	33.33951	69.92041	AF	Asia/Kabul
1136575	Khulm	36.69736	67.69826	AF	Asia/Kabul
1136863	Khash	31.52919	62.79055	AF	Asia/Kabul
1137079	Khan Neshin	30.5488	63.7888	AF	Asia/Kabul
1137168	Khanabad	36.68304	69.11279	AF	Asia/Kabul
1137807	Karukh	34.48108	62.5863	AF	Asia/Kabul
1138336	Kandahar	31.61332	65.71013	AF	Asia/Kabul
1138958	Kabul	34.52813	69.17233	AF	Asia/Kabul
1139715	Jalalabad	34.42647	70.45153	AF	Asia/Kabul
1139807	Jabal os Saraj	35.11833	69.23778	AF	Asia/Kabul
1140026	Herat	34.34817	62.19967	AF	Asia/Kabul
1141089	Ghormach	35.73062	63.78264	AF	Asia/Kabul
1141269	Ghazni	33.55391	68.42096	AF	Asia/Kabul
1141540	Gereshk	31.82089	64.57005	AF	Asia/Kabul
1141857	Gardez	33.59744	69.22592	AF	Asia/Kabul
1142170	Fayzabad	37.11664	70.58002	AF	Asia/Kabul
1142264	Farah	32.37451	62.11638	AF	Asia/Kabul
1142404	Eslam Qaleh	34.66667	61.06667	AF	Asia/Kabul
1145352	Charikar	35.01361	69.17139	AF	Asia/Kabul
